date,layer,QFLAG2_min,QFLAG2_max,QFLAG2_mean,QFLAG2_median,QFLAG2_count,QFLAG2_std,QFLAG2_majority,LAI_min,LAI_max,LAI_mean,LAI_median,LAI_count,LAI_std,LAI_majority,PPI_min,PPI_max,PPI_mean,PPI_median,PPI_count,PPI_std,PPI_majority,FAPAR_min,FAPAR_max,FAPAR_mean,FAPAR_count,FAPAR_std,FAPAR_median,FAPAR_majority,NDVI_min,NDVI_max,NDVI_mean,NDVI_median,NDVI_count,NDVI_std,NDVI_majority
2017-07-15 10:50:31,LAM,1.0,1.0,1.0,1.0,2413,0.0,1.0,0.6311999559402466,5.32480001449585,4.376000440323249,4.559999942779541,2413,0.6347713408890183,4.9151997566223145,0.4592999815940857,3.0,2.1475720300844383,2.177000045776367,2413,0.4401726237175344,3.0,0.343099981546402,0.9283999800682068,0.8735555940478658,2413,0.0509879749970857,0.88919997215271,0.9025999903678894,0.4441999793052673,0.9294999837875366,0.8791525153465602,0.8914999961853027,2413,0.0406585734682732,0.9071999788284302
2017-07-17 10:40:19,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-07-18 10:56:51,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-07-20 10:50:29,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-07-22 10:40:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-07-23 10:56:19,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-07-25 10:50:31,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-07-27 10:40:19,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-07-28 10:56:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-07-30 10:50:29,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-08-01 10:40:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-08-02 10:56:49,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-08-04 10:50:31,LAM,1.0,8193.0,33.82635796972395,1.0,2246,517.5286994075035,1.0,0.3136000037193298,5.294399738311768,3.476709897456589,4.031999588012695,2246,1.419207267956773,4.098400115966797,0.1008000001311302,3.0,2.065002060955588,2.3291497230529785,2246,0.941452007324776,3.0,0.2584999799728393,0.929099977016449,0.7711009350825078,2246,0.1768427627763124,0.8623499870300293,0.9139999747276306,0.2936999797821045,0.8763999938964844,0.7599468282154386,0.8101999759674072,2246,0.1212777619526965,0.8298999667167664
2017-08-06 10:40:19,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-08-07 10:56:51,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-08-09 10:50:29,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-08-11 10:40:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-08-12 10:56:19,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-08-14 10:50:31,LAM,1.0,1.0,1.0,1.0,2413,0.0,1.0,0.7639999985694885,4.293600082397461,3.4973952937215085,3.576799869537353,2413,0.4858903013643061,3.9863998889923096,0.386599987745285,2.337100028991699,1.332283788334024,1.3481999635696411,2413,0.2475119476596301,1.343400001525879,0.3944000005722046,0.8835999965667725,0.8250673739089049,2413,0.0442196654807967,0.8351999521255493,0.8644999861717224,0.4954999983310699,0.877299964427948,0.8321698121988966,0.8363999724388123,2413,0.0268475112286041,0.8353999853134155
2017-08-16 10:40:19,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-08-17 10:56:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-08-19 10:50:29,LAM,1025.0,4097.0,3141.4529331514323,4097.0,733,1422.1006969957857,4097.0,0.4839999973773956,4.594399929046631,1.8181631965168827,1.4728000164031982,733,0.9167596423373956,1.0655999183654783,0.2004999965429306,3.0,1.1247939126715978,0.9608999490737916,733,0.5294020796278714,3.0,0.2443999946117401,0.8772000074386597,0.5171701137235676,733,0.2025977370165355,0.4151999950408935,0.3048999905586242,0.1717000007629394,0.8201999664306641,0.5541231954244117,0.5121999979019165,733,0.1680633666089714,0.7630999684333801
2017-08-21 10:40:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-08-22 10:56:49,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-08-24 10:50:31,LAM,1.0,1.0,1.0,1.0,2413,0.0,1.0,0.4615999758243561,3.214399814605713,2.2230500317291755,2.168799877166748,2413,0.421396889439768,1.9687999486923216,0.2494999915361404,1.3931999206542969,0.8603424565504558,0.8428999781608582,2413,0.1930976981792482,0.9519999623298644,0.3113999962806701,0.8149999976158142,0.700630779242644,2413,0.0584856691832609,0.6998999714851379,0.6919999718666077,0.4087999761104584,0.8080999851226807,0.7405288007019271,0.7410999536514282,2413,0.0309729814495313,0.7293999791145325
2017-08-26 10:40:19,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-08-27 10:56:51,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-08-29 10:50:19,LAM,1.0,1.0,1.0,1.0,2413,0.0,1.0,0.3935999870300293,3.29040002822876,1.9081070066437007,1.888000011444092,2413,0.4168242062285871,1.9479999542236328,0.311299979686737,1.169399976730347,0.6990326345090396,0.6873999834060669,2413,0.1419693692208161,0.666700005531311,0.2926999926567077,0.8238999843597412,0.6565408844993266,2413,0.0686459038107734,0.6614999771118164,0.6128000020980835,0.3789999783039093,0.8482999801635742,0.7113337099823871,0.7181000113487244,2413,0.048927578156945,0.7138999700546265
2017-08-31 10:40:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-09-01 10:56:19,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-09-03 10:50:31,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-09-05 10:40:19,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-09-06 10:56:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-09-08 10:50:19,LAM,1.0,4097.0,2897.931466470154,4097.0,1357,1801.1448104794788,4097.0,0.0279999990016222,2.859999895095825,0.2610370183395127,0.2255999892950058,1357,0.2264203106853568,0.0975999981164932,0.0001999999949475,1.2161999940872192,0.1360721867258955,0.1138999909162521,1230,0.1319192923243645,0.0331999994814395,0.0548000000417232,0.7817999720573425,0.1822745000604504,1357,0.0705189264318253,0.1749999970197677,0.1950999945402145,0.128600001335144,0.7450999617576599,0.2254176747737426,0.2107999920845031,1357,0.0688621500210533,0.2117999941110611
2017-09-11 10:56:39,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-09-13 10:50:21,LAM,1025.0,4097.0,1938.98347107438,1025.0,363,1404.418540800186,1025.0,0.0015999999595806,1.285599946975708,0.1416298877233746,0.0855999961495399,348,0.1766180027482463,0.0487999990582466,0.0006999999750405,0.1863999962806701,0.039111761485829,0.0275500006973743,68,0.0380363542483147,0.0027999999001622,0.0001999999949475,0.2762999832630157,0.1016245124753841,363,0.0570835831025109,0.1045999974012374,0.0001999999949475,0.0026999998372048,0.3646999895572662,0.1463364659093361,0.1484499871730804,362,0.0559139604858351,0.1908999979496002
2017-09-15 10:40:09,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-09-16 10:57:01,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-09-18 10:50:19,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-09-20 10:40:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-09-21 10:57:29,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-09-23 10:50:21,LAM,1.0,1.0,1.0,1.0,2324,0.0,1.0,0.007999999448657,1.9223999977111816,0.0714588657714003,0.043199997395277,2324,0.1512530730302383,0.0368000008165836,0.0003999999898951,0.4491999745368957,0.1559843312139096,0.124499998986721,115,0.1234630756924545,0.0003999999898951,0.0285999998450279,0.7069999575614929,0.077742466622909,2324,0.0694010557317998,0.0612999983131885,0.0606999993324279,0.0998999997973442,0.7698000073432922,0.1536004334021353,0.1358000040054321,2324,0.0735273416883692,0.12950000166893
2017-09-25 10:40:09,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-09-26 10:58:11,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-09-28 10:50:09,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-09-30 10:40:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-10-01 10:58:29,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-10-03 10:50:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-10-05 10:40:09,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-10-06 10:59:41,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
